date,call,put
4/14/2020,"15,213,747","12,880,030"
4/13/2020,"12,319,505","10,514,247"
4/9/2020,"17,500,879","16,321,942"
4/8/2020,"11,984,006","11,659,752"
4/7/2020,"14,338,502","13,605,262"
4/6/2020,"13,573,199","12,269,428"
4/3/2020,"12,528,158","13,017,220"
4/2/2020,"10,994,456","11,880,287"
4/1/2020,"10,877,067","12,877,300"
3/31/2020,"11,088,476","11,960,752"
3/30/2020,"10,869,605","10,735,639"
3/27/2020,"12,507,905","12,400,186"
3/26/2020,"13,283,437","12,869,008"
3/25/2020,"15,264,675","13,474,495"
3/24/2020,"14,583,481","13,093,820"
3/23/2020,"13,099,854","12,823,017"
3/20/2020,"14,441,331","16,230,590"
3/19/2020,"14,821,608","15,010,091"
3/18/2020,"15,115,279","19,555,604"
3/17/2020,"14,279,973","15,558,721"
3/16/2020,"13,027,424","17,556,835"
3/13/2020,"16,844,604","19,812,800"
3/12/2020,"16,323,429","23,564,259"
3/11/2020,"13,018,323","18,209,213"
3/10/2020,"14,079,519","16,129,881"
3/9/2020,"13,859,742","19,838,962"
3/6/2020,"17,378,579","21,270,881"
3/5/2020,"14,713,813","15,734,348"
3/4/2020,"13,972,757","13,768,219"
3/3/2020,"13,972,757","13,768,219"
3/2/2020,"14,738,405","15,272,860"
2/28/2020,"21,293,994","26,800,310"
2/27/2020,"20,325,840","24,353,630"
2/26/2020,"16,173,098","17,071,686"
2/25/2020,"19,642,486","21,745,207"
2/24/2020,"18,995,595","20,330,396"
2/21/2020,"17,336,933","16,195,798"
2/20/2020,"16,599,429","12,106,265"
2/19/2020,"14,650,846","9,672,379"
2/18/2020,"14,821,221","10,189,674"
2/14/2020,"13,380,995","10,400,539"
2/13/2020,"13,080,535","9,473,078"
2/12/2020,"15,413,661","10,222,360"
2/11/2020,"15,061,796","9,748,738"
2/10/2020,"12,026,015","8,912,458"
2/7/2020,"13,296,171","11,804,297"
2/6/2020,"14,673,143","9,848,428"
2/5/2020,"15,033,168","11,654,128"
2/4/2020,"14,469,422","10,440,867"
2/3/2020,"12,077,796","9,480,033"
1/31/2020,"15,878,481","16,690,946"
1/30/2020,"15,878,481","16,690,946"
1/29/2020,"12,172,813","9,805,486"
1/28/2020,"11,545,520","9,029,590"
1/27/2020,"13,183,131","13,178,988"
1/24/2020,"15,533,478","15,743,707"
1/23/2020,"13,148,587","10,087,505"
1/22/2020,"13,128,286","10,045,957"
1/21/2020,"13,766,074","10,790,559"
1/17/2020,"17,813,782","11,506,427"
1/16/2020,"14,825,692","10,614,671"
1/15/2020,"14,353,436","10,202,992"
1/14/2020,"13,842,943","9,491,388"
1/13/2020,"13,868,685","9,798,199"
1/10/2020,"13,612,476","10,817,179"
1/9/2020,"14,528,752","9,952,099"
1/8/2020,"16,683,040","10,508,397"
1/7/2020,"11,289,328","7,727,623"
1/6/2020,"11,470,864","8,588,296"
1/3/2020,"12,727,959","9,782,518"
1/2/2020,"13,240,657","8,768,955"
12/31/2019,"10,246,541","7,097,767"
12/30/2019,"10,256,525","7,676,922"
12/27/2019,"10,614,875","7,642,420"
12/26/2019,"9,326,471","6,060,114"
12/24/2019,"5,227,064","4,063,224"
12/23/2019,"9,862,521","7,010,533"
12/20/2019,"15,300,064","10,216,317"
12/19/2019,"15,324,788","8,373,334"
12/18/2019,"11,704,140","9,034,801"
12/17/2019,"10,521,412","7,175,604"
12/16/2019,"13,858,271","11,153,312"
12/13/2019,"19,809,837","12,001,644"
12/12/2019,"16,448,646","11,073,890"
12/11/2019,"9,538,375","8,122,309"
12/10/2019,"8,411,218","7,212,692"
12/9/2019,"9,051,634","8,185,154"
12/6/2019,"11,593,646","9,209,459"
12/5/2019,"8,043,916","6,938,902"
12/4/2019,"10,488,572","7,943,405"
12/3/2019,"10,845,168","9,914,103"
12/2/2019,"10,439,082","8,956,346"
